Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brussels - Euronext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Instrument's name,ISIN,Euronext code,Market,Symbol,ICB Sector (Level 4),Trading currency,Last,Volume,D/D-1 (%),Date - time (CET),Turnover,Total number of shares,Capitalisation,Compartment,Investment zone,Eligibility,Trading mode,Day First,Day High,Day High / Date - time (CET),Day Low,Day Low / Date - time (CET), 31-12/Change (%), 31-12/High, 31-12/High/Date, 31-12/Low, 31-12/Low/Date, 52 weeks/Change (%), 52 weeks/High, 52 weeks/High/Date, 52 weeks/Low, 52 weeks/Low/Date,Website,Investor relation contact,Phone number,ICB Sector (Level 1),ICB Sector (Level 2),ICB Sector (Level 3),Personal equity saving plan eligibility,Deferred Settlement Service,Halted,Halted / Date - time (CET)
TELENET STRIP,BE0005599700,BE0005599700,BRU,TNETS,5553 Broadcasting & Entertainment,EUR,0.001,5,0,2008-12-11 15:00,0,"23,876,692","23,877",null,Belgium zone  ,,Call auction,0.001,0.001,2008-12-11 15:00,0.001,2008-12-11 15:00,-75,0.004,2008-4-11,0.001,2007-12-11,-75,0,2008-4-11,0,2007-12-11,-,-,-,5000 Consumer Services,5500 Media,5550 Media,No,No,-,-
TER BEKE,BE0003573814,BE0003573814,BRU,TERB,3577 Food Products,EUR,49.99,30,2.02,2009-12-11 9:45,1500,"1,732,621","86,613,724",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,49.99,49.99,2009-12-11 9:45,49.99,2009-12-11 9:45,-16.4,61.4,2005-1-11,48,2028-9-11,-17.83,61.4,2005-1-11,48,2028-9-11,"=LIEN_HYPERTEXTE(""http://www.terbeke.be"";""http://www.terbeke.be"")",-,-,3000 ConsumerGoods,3500 Food & Beverage,3570 Food Producers,Yes,No,-,-
TESSENDERLO,BE0003555639,BE0003555639,BRU,TESB,1357 Specialty Chemicals,EUR,21.41,32971,1.23,2009-12-11 17:35,697565,"29,531,058","632,259,952",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,21.06,21.63,2009-12-11 9:07,20.99,2009-12-11 15:25,-21.26,32.39,2015-6-11,18.96,2005-9-11,-20.94,32.39,2015-6-11,18.96,2005-9-11,"=LIEN_HYPERTEXTE(""http://www.tessenderlogroup.com"";""http://www.tessenderlogroup.com"")",Philip Ludwig,+32 2 639 16 58,1000 BasicMaterials,1300 Chemicals,1350 Chemicals,Yes,No,-,-
TESSENDERLO STRIP,BE0005515839,BE0005515839,BRU,TESS,1357 Specialty Chemicals,EUR,0.05,1355,0,2009-12-11 15:00,68,"7,644,267","382,213",null,Belgium zone  ,,Call auction,0.05,0.05,2009-12-11 15:00,0.05,2009-12-11 15:00,-88.86,0.6,2026-4-11,0.05,2008-12-11,-84.85,0.6,2026-4-11,0.05,2008-12-11,-,-,-,1000 BasicMaterials,1300 Chemicals,1350 Chemicals,No,No,-,-
TEXAF,BE0003550580,BE0003550580,BRU,TEXF,8775 Specialty Finance,EUR,160.5,14,-0.31,2009-12-11 16:30,2249,"318,933","51,188,747",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,162,162,2009-12-11 11:30,160.5,2009-12-11 16:30,-23.75,226,2014-7-11,154.05,2014-11-11,-13.24,236,2020-12-10,154.05,2014-11-11,"=LIEN_HYPERTEXTE(""http://www.texaf.be"";""http://www.texaf.be"")",PHILIPPE CROONENBERGHS,32.495.243264,8000 Financials,8700 Financial Services,8770 Financial Services,Yes,No,-,-
THENERGO (D),BE0003895159,BE0003895159,BRU,THEB,7537 Alternative Electricity,EUR,0.34,20100,3.03,2009-12-11 16:06,6705,"28,633,631","9,735,435",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,0.33,0.34,2009-12-11 12:08,0.33,2009-12-11 11:38,-59.04,1.15,2024-1-11,0.19,2025-11-11,-64.21,1.15,2024-1-11,0.19,2025-11-11,"=LIEN_HYPERTEXTE(""http://www.thenergo.eu"";""http://www.thenergo.eu"")",-,-,7000 Utilities,7500 Utilities,7530 Electricity,Yes,No,-,-
THINK-MEDIA,BE0003804219,BE0003804219,BRU,THI,5555 Media Agencies,EUR,1.56,1,0,2009-12-11 16:30,2,"3,584,690","5,592,116",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,1.56,1.56,2009-12-11 16:30,1.56,2009-12-11 16:30,-29.09,2.58,2004-1-11,1.4,2001-9-11,-39.53,2.58,2004-1-11,1.4,2001-9-11,"=LIEN_HYPERTEXTE(""http://www.think-media.be"";""http://www.think-media.be"")",Ann Nisot,+ 32 3 20 20 180,5000 Consumer Services,5500 Media,5550 Media,Yes,No,-,-
THROMBOG STRIP (D),BE0005604757,BE0005604757,BRU,THRS,4573 Biotechnology,EUR,0.009,110,800,2006-12-11 15:00,1,"7,797,778","70,180",null,Belgium zone  ,,Call auction,0.009,0.009,2006-12-11 15:00,0.009,2006-12-11 15:00,0,0.012,2011-7-11,0.001,2002-12-11,50,0.01,2011-7-11,0,2002-12-11,-,-,-,4000 HealthCare,4500 Health Care,4570 Pharmaceuticals & Biotechnology,No,No,-,-
THROMBOGENICS,BE0003846632,BE0003846632,BRU,THR,4573 Biotechnology,EUR,17.79,41558,0,2009-12-11 17:35,747228,"32,413,757","576,640,737",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,17.79,18.3,2009-12-11 9:36,17.79,2009-12-11 9:00,-22.62,23,2019-1-11,12.1,2009-8-11,-9,23.94,2021-12-10,12.1,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.thrombogenics.com"";""http://www.thrombogenics.com"")",-,-,4000 HealthCare,4500 Health Care,4570 Pharmaceuticals & Biotechnology,Yes,No,-,-
TIGENIX (D),BE0003864817,BE0003864817,BRU,TIG,4573 Biotechnology,EUR,0.67,55763,-2.9,2009-12-11 17:36,37739,"91,122,667","61,052,187",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,0.69,0.7,2009-12-11 9:22,0.66,2009-12-11 11:37,-44.87,1.45,2025-2-11,0.57,2009-8-11,-47.77,1.45,2025-2-11,0.57,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.tigenix.com"";""http://www.tigenix.com"")",Kris Motmans,-,4000 HealthCare,4500 Health Care,4570 Pharmaceuticals & Biotechnology,Yes,No,-,-
TOTAL,FR0000120271,FR0000120271,PAR,FP,0537 Integrated Oil & Gas,EUR,38.855,6810240,2.51,2009-12-11 17:36,262971917,"2,358,543,649","91,641,213,482",Compartment A (Large Caps),French zone  ,SRD and PEA eligible,Continuous,37.66,38.96,2009-12-11 17:28,37.66,2009-12-11 9:00,-2.01,44.55,2004-3-11,29.4,2023-9-11,-0.68,44.55,2004-3-11,29.4,2023-9-11,"=LIEN_HYPERTEXTE(""http://www.total.com"";""http://www.total.com"")",-,-,0001 Oil&Gas,0500 Oil & Gas,0530 Oil & Gas Producers,Yes,Yes,-,-
TOTAL STRIP,BE0005554259,BE0005554259,BRU,TOTS,0537 Integrated Oil & Gas,EUR,0.001,2600,0,2009-12-11 15:00,3,"227,734,056","227,734",null,French zone  ,,Call auction,0.001,0.001,2009-12-11 15:00,0.001,2009-12-11 15:00,0,0.001,2008-12-11,0.001,2008-12-11,0,0,2008-12-11,0,2008-12-11,-,-,-,0001 Oil&Gas,0500 Oil & Gas,0530 Oil & Gas Producers,No,No,-,-
TRANSICS INT.,BE0003869865,BE0003869865,BRU,TRAN,9578 Telecommunications Equipment,EUR,6.21,270,0.48,2009-12-11 16:31,1677,"8,085,810","50,212,880",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,6.21,6.21,2009-12-11 9:00,6.21,2009-12-11 9:00,3.33,7.75,2026-5-11,5.5,1930-9-11,4.72,7.75,2026-5-11,5.5,1930-9-11,"=LIEN_HYPERTEXTE(""http://www.transics.com"";""http://www.transics.com"")",Sophie Breyer,057/409898,9000 Technology,9500 Technology,9570 Technology Hardware & Equipment,Yes,No,-,-
TRANSICS STR VVPR,BE0005613840,BE0005613840,BRU,TRANS,9578 Telecommunications Equipment,EUR,0.01,3000,0,2017-6-11 15:00,30,"1,485,714","14,857",null,Belgium zone  ,,Call auction,0.01,0.01,2017-6-11 15:00,0.01,2017-6-11 15:00,0,0.02,2005-1-11,0.001,2012-5-11,0,0.02,2005-1-11,0,2012-5-11,"=LIEN_HYPERTEXTE(""http://www.transics.com"";""http://www.transics.com"")",-,-,9000 Technology,9500 Technology,9570 Technology Hardware & Equipment,No,No,-,-
TUBIZE (ATTR),BE0099967573,BE0099967573,BRU,TUBAT,4577 Pharmaceuticals,EUR,0.21,70,-8.7,2009-12-11 16:03,15,-,0,null,Belgium zone  ,PEA eligible,Continuous,0.21,0.21,2009-12-11 16:03,0.21,2009-12-11 16:03,5,0.33,2014-2-11,0.2,2026-9-11,0,0.33,2014-2-11,0.2,2026-9-11,"=LIEN_HYPERTEXTE(""http://www.financiere-tubize.be"";""http://www.financiere-tubize.be"")",-,-,4000 HealthCare,4500 Health Care,4570 Pharmaceuticals & Biotechnology,Yes,No,-,-
TUBIZE-FIN,BE0003823409,BE0003823409,BRU,TUB,4577 Pharmaceuticals,EUR,23.62,4237,-0.38,2009-12-11 17:35,99679,"44,608,831","1,053,660,588",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,23.48,23.67,2009-12-11 11:06,23.42,2009-12-11 15:43,7.56,27.5,2026-4-11,18.92,2009-8-11,6.64,27.5,2026-4-11,18.92,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.financiere-tubize.be"";""http://www.financiere-tubize.be"")",-,-,4000 HealthCare,4500 Health Care,4570 Pharmaceuticals & Biotechnology,Yes,No,-,-
UCB,BE0003739530,BE0003739530,BRU,UCB,4577 Pharmaceuticals,EUR,31.5,186658,-0.79,2009-12-11 17:35,5876503,"183,365,052","5,775,999,138",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,31.34,31.745,2009-12-11 9:32,31.265,2009-12-11 14:37,22.71,34.1,2026-5-11,25.605,2025-1-11,21.43,34.1,2026-5-11,25.5,2024-12-10,"=LIEN_HYPERTEXTE(""http://www.ucb.com"";""http://www.ucb.com"")",Antje Witte,+32 (2) 559 9414,4000 HealthCare,4500 Health Care,4570 Pharmaceuticals & Biotechnology,Yes,No,-,-
UMICORE (D),BE0003884047,BE0003884047,BRU,UMI,1357 Specialty Chemicals,EUR,32.085,471598,1.5,2009-12-11 17:37,15122350,"120,000,000","3,850,200,000",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,31.2,32.515,2009-12-11 13:00,31.2,2009-12-11 9:00,-17.56,40.715,2008-2-11,24.575,2004-10-11,-16.71,40.72,2008-2-11,24.58,2004-10-11,"=LIEN_HYPERTEXTE(""http://www.umicore.com"";""http://www.umicore.com"")",Geoffroy Raskin,+32 2 227 71 47,1000 BasicMaterials,1300 Chemicals,1350 Chemicals,Yes,No,-,-
UMICORE STRIP (D),BE0005623948,BE0005623948,BRU,UMIS,1357 Specialty Chemicals,EUR,0.002,1285,-75,2007-12-11 15:00,3,"26,694,065","53,388",null,Belgium zone  ,,Call auction,0.002,0.002,2007-12-11 15:00,0.002,2007-12-11 15:00,-77.78,0.012,2009-9-11,0.001,2028-11-11,-33.33,0.01,2024-12-10,0,2028-11-11,-,-,-,1000 BasicMaterials,1300 Chemicals,1350 Chemicals,No,No,-,-
UNITRONICS,IL0010838311,IL0010838311,BRU,UNITB,2737 Electronic Equipment,EUR,1.03,50,0,2008-12-11 11:03,52,"11,676,546","12,026,842",Compartment C (Small Caps),International zone (out of Euro)  ,,Continuous,1.03,1.03,2008-12-11 11:03,1.03,2008-12-11 11:03,-9.65,2.5,2002-5-11,1.01,1930-11-11,9.57,2.5,2002-5-11,0.95,2013-12-10,"=LIEN_HYPERTEXTE(""http://www.unitronics.com"";""http://www.unitronics.com"")",Eyal Saban,+972 3 9778888,2000 Industrials,2700 Industrial Goods & Services,2730 Electronical & Electrical Equipment,No,No,-,-
VAN DE VELDE,BE0003839561,BE0003839561,BRU,VAN,3763 Clothing & Accessories,EUR,35.02,810,-0.79,2009-12-11 17:35,28540,"13,322,480","466,553,250",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,35.3,35.3,2009-12-11 9:00,35.02,2009-12-11 17:35,-11.57,40.98,2006-6-11,29.35,2005-8-11,-9.3,40.98,2006-6-11,29.35,2005-8-11,"=LIEN_HYPERTEXTE(""http://www.vandevelde.eu"";""http://www.vandevelde.eu"")",-,-,3000 ConsumerGoods,3700 Personal,3760 Personal Goods,Yes,No,-,-
VGP,BE0003878957,BE0003878957,BRU,VGP,8633 Real Estate Holding & Development,EUR,18.89,1,-0.05,2009-12-11 9:00,19,"18,583,050","351,033,815",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,18.89,18.89,2009-12-11 9:00,18.89,2009-12-11 9:00,13.8,21,2004-7-11,16,2009-8-11,11.78,21,2004-7-11,16,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.vgpparks.eu"";""http://www.vgpparks.eu"")",-,-,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,Yes,No,-,-
VGP STRIP VVPR,BE0005621926,BE0005621926,BRU,VGPS,8633 Real Estate Holding & Development,EUR,0.01,250,0,2008-9-11 15:00,3,"3,278,688","32,787",null,Belgium zone  ,,Call auction,0.01,0.01,2008-9-11 15:00,0.01,2008-9-11 15:00,-75,0.05,2003-3-11,0.001,2016-6-11,400,0.05,2003-3-11,0,2016-6-11,-,-,-,8000 Financials,8600 Real Estate,8630 Real Estate Investment & Services,No,No,-,-
VPK PACKAGING,BE0003749638,BE0003749638,BRU,VPKB,2723 Containers & Packaging,EUR,29.5,771,0,2009-12-11 16:11,22745,"8,772,742","258,795,889",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,29.5,29.5,2009-12-11 9:00,29.5,2009-12-11 9:00,4.42,31.9,2023-6-11,28,2028-11-11,8.46,31.9,2023-6-11,26.62,2009-12-10,"=LIEN_HYPERTEXTE(""http://www.vpkgroup.com"";""http://www.vpkgroup.com"")",Ledegen Luc,+32 52 26 1216,2000 Industrials,2700 Industrial Goods & Services,2720 General Industrials,Yes,No,-,-
VPK STRIP,BE0005551222,BE0005551222,BRU,VPKS,2723 Containers & Packaging,EUR,0.01,20,0,2008-12-11 15:00,0,"672,742","6,727",null,Belgium zone  ,,Call auction,0.01,0.01,2008-12-11 15:00,0.01,2008-12-11 15:00,-75,0.08,2027-6-11,0.01,2005-12-11,0,0.08,2027-6-11,0.01,2005-12-11,-,-,-,2000 Industrials,2700 Industrial Goods & Services,2720 General Industrials,No,No,-,-
VRANKEN-POMMERY,FR0000062796,FR0000062796,PAR,VRAP,3535 Distillers & Vintners,EUR,27.89,608,-0.14,2009-12-11 16:11,17039,"6,702,814","186,941,482",Compartment B (Mid Caps),French zone  ,PEA eligible,Continuous,28,28.3,2009-12-11 9:24,27.88,2009-12-11 10:43,-15.99,37.68,2021-2-11,26.05,2027-9-11,-15.48,37.68,2021-2-11,26.05,2027-9-11,"=LIEN_HYPERTEXTE(""http://www.vrankenpommery.fr"";""http://www.vrankenpommery.fr"")",-,-,3000 ConsumerGoods,3500 Food & Beverage,3530 Beverages,Yes,No,-,-
WAREHOUSES-SICAFI,BE0003734481,BE0003734481,BRU,WEB,8671 Industrial & Office REITs,EUR,44.15,150,0.3,2009-12-11 16:30,6623,"3,166,337","139,793,779",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,44.15,44.15,2009-12-11 16:30,44.15,2009-12-11 16:30,10.38,45.4,2025-7-11,40,2013-1-11,14.65,45.4,2025-7-11,39.2,2009-12-10,"=LIEN_HYPERTEXTE(""http://www.w-e-b.be"";""http://www.w-e-b.be"")",-,-,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
WDP-SICAFI,BE0003763779,BE0003763779,BRU,WDP,8671 Industrial & Office REITs,EUR,35.78,8328,-0.75,2009-12-11 17:35,299136,"13,638,521","487,986,281",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,36.3,36.3,2009-12-11 9:46,35.5,2009-12-11 17:29,-2.37,41.95,2028-4-11,31.51,2009-8-11,-3.58,41.95,2028-4-11,31.51,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.wdp.be"";""http://www.wdp.be"")",UWENTS Joost,+32 52/338.400,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
WERELDHAV B-SICAFI,BE0003724383,BE0003724383,BRU,WEHB,8672 Retail REITs,EUR,64.2,602,-0.03,2009-12-11 17:35,38822,"5,331,947","342,310,997",Compartment B (Mid Caps),Belgium zone  ,PEA eligible,Continuous,65.72,65.72,2009-12-11 9:44,64.2,2009-12-11 17:35,-6.28,75,2007-2-11,62.47,2008-8-11,-4.11,75,2007-2-11,62.47,2008-8-11,"=LIEN_HYPERTEXTE(""http://www.wereldhavebelgium.com"";""http://www.wereldhavebelgium.com"")",-,-,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
ZENITEL,BE0003806230,BE0003806230,BRU,ZENT,9578 Telecommunications Equipment,EUR,0.3,1650,0,2009-12-11 16:30,495,"16,554,422","4,966,327",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,0.3,0.3,2009-12-11 16:30,0.3,2009-12-11 16:30,-25,0.43,2018-5-11,0.3,2007-12-11,-21.05,0.43,2018-5-11,0.3,2007-12-11,"=LIEN_HYPERTEXTE(""http://www.zenitel.com"";""http://www.zenitel.com"")",Kenneth Dastol,+47 400 02 500,9000 Technology,9500 Technology,9570 Technology Hardware & Equipment,Yes,No,-,-
ZENITEL STRIP,BE0005594651,BE0005594651,BRU,ZENTS,9578 Telecommunications Equipment,EUR,0.001,488,0,2027-6-11 15:00,0,"10,540,056","10,540",null,Belgium zone  ,,Call auction,0.001,0.001,2027-6-11 15:00,0.001,2027-6-11 15:00,0,0.003,2010-6-11,0.001,2022-6-11,0,0,2010-6-11,0,2022-6-11,-,-,-,9000 Technology,9500 Technology,9570 Technology Hardware & Equipment,No,No,-,-
ZETES INDUST.STRIP,BE0005600714,BE0005600714,BRU,ZTSS,9533 Computer Services,EUR,0.001,25,0,2008-12-11 15:00,0,"3,514,414","3,514",null,Belgium zone  ,,Call auction,0.001,0.001,2008-12-11 15:00,0.001,2008-12-11 15:00,-50,0.77,2023-8-11,0.001,2002-12-11,-66.67,0.77,2023-8-11,0,2002-12-11,-,-,-,9000 Technology,9500 Technology,9530 Software & Computer Services,No,No,-,-
ZETES INDUSTRIES,BE0003827442,BE0003827442,BRU,ZTS,9533 Computer Services,EUR,16.05,2885,0,2009-12-11 13:42,46205,"5,389,714","86,504,910",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Continuous,15.88,16.05,2009-12-11 13:42,15.88,2009-12-11 13:41,-7.76,18.85,2021-4-11,14.55,2009-8-11,-5.7,18.85,2021-4-11,14.55,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.zetes.com"";""http://www.zetes.com"")",Benoît Heins,+32 2 728 37 11 ,9000 Technology,9500 Technology,9530 Software & Computer Services,Yes,No,-,-
